unique_word,count,stem,syllables,length,weights
scarecrow’,2,10.0,0.0,10.0,0.992859121579838
knowitall,2,8.0,0.0,9.0,0.992859121579838
trev,2,4.0,0.0,4.0,0.992859121579838
‘w,2,2.0,0.0,2.0,0.992859121579838
oho,2,3.0,0.0,3.0,0.992859121579838
virunga,2,7.0,0.0,7.0,0.992859121579838
¼,2,1.0,0.0,1.0,0.992859121579838
musicmaking,2,8.0,0.0,11.0,0.992859121579838
beto,2,4.0,0.0,4.0,0.992859121579838
forthright,2,10.0,7.0,10.0,0.992859121579838
carrero,2,7.0,6.0,7.0,0.992859121579838
aventura,2,8.0,7.0,8.0,0.992859121579838
tutor’s,2,6.0,0.0,7.0,0.992859121579838
revolvershots,2,12.0,0.0,13.0,0.992859121579838
ften,2,4.0,0.0,4.0,0.992859121579838
naturebased,2,9.0,0.0,11.0,0.992859121579838
orlandos,2,7.0,0.0,8.0,0.992859121579838
universals,2,7.0,0.0,10.0,0.992859121579838
simpsons,2,7.0,8.0,8.0,0.992859121579838
epcot,2,5.0,5.0,5.0,0.992859121579838
peech,2,5.0,0.0,5.0,0.992859121579838
oste,2,3.0,0.0,4.0,0.992859121579838
villainy,2,8.0,0.0,8.0,0.992859121579838
wic,2,3.0,0.0,3.0,0.992859121579838
coolamon,2,8.0,0.0,8.0,0.992859121579838
halldoor,2,8.0,0.0,8.0,0.992859121579838
crue,2,4.0,0.0,4.0,0.992859121579838
eaching,2,4.0,0.0,7.0,0.992859121579838
blazars,2,6.0,0.0,7.0,0.992859121579838
wheezy,2,6.0,0.0,6.0,0.992859121579838
amphitheatres,2,11.0,0.0,13.0,0.992859121579838
contradict,2,10.0,10.0,10.0,0.992859121579838
1803,2,4.0,0.0,4.0,0.992859121579838
fetc,2,4.0,0.0,4.0,0.992859121579838
meatloaf,2,8.0,6.0,8.0,0.992859121579838
shampoo,2,7.0,5.0,7.0,0.992859121579838
pete’s,2,5.0,0.0,6.0,0.992859121579838
stead’,2,6.0,0.0,6.0,0.992859121579838
ironed,2,4.0,4.0,6.0,0.992859121579838
plugs,2,4.0,5.0,5.0,0.992859121579838
harbouring,2,7.0,0.0,10.0,0.992859121579838
grace’,2,6.0,0.0,6.0,0.992859121579838
ichthyornis,2,10.0,0.0,11.0,0.992859121579838
unifying,2,5.0,8.0,8.0,0.992859121579838
forerunner,2,8.0,6.0,10.0,0.992859121579838
sharers,2,6.0,0.0,7.0,0.992859121579838
mountainthe,2,10.0,0.0,11.0,0.992859121579838
wishes—,2,7.0,0.0,7.0,0.992859121579838
ovid,2,4.0,0.0,4.0,0.992859121579838
virgil,2,6.0,5.0,6.0,0.992859121579838
gout,2,4.0,3.0,4.0,0.992859121579838
ware’,2,5.0,0.0,5.0,0.992859121579838
cozening,2,5.0,0.0,8.0,0.992859121579838
etruscan,2,8.0,8.0,8.0,0.992859121579838
curiosities,2,6.0,11.0,11.0,0.992859121579838
flooring,2,5.0,6.0,8.0,0.992859121579838
gambling,2,5.0,8.0,8.0,0.992859121579838
ques,2,3.0,4.0,4.0,0.992859121579838
ficult,2,6.0,0.0,6.0,0.992859121579838
trade’,2,6.0,0.0,6.0,0.992859121579838
todaymy,2,7.0,0.0,7.0,0.992859121579838
stating,2,5.0,6.0,7.0,0.992859121579838
triangulum,2,10.0,0.0,10.0,0.992859121579838
tintroduce,2,9.0,0.0,10.0,0.992859121579838
oucan,2,5.0,0.0,5.0,0.992859121579838
urkey,2,5.0,0.0,5.0,0.992859121579838
punished’,2,9.0,0.0,9.0,0.992859121579838
1250,2,4.0,0.0,4.0,0.992859121579838
superintending,2,11.0,0.0,14.0,0.992859121579838
counterpane,2,10.0,0.0,11.0,0.992859121579838
blobbopolis,2,10.0,0.0,11.0,0.992859121579838
950,2,3.0,0.0,3.0,0.992859121579838
dumpsters,2,8.0,8.0,9.0,0.992859121579838
joing,2,2.0,0.0,5.0,0.992859121579838
footprinthuey,2,13.0,0.0,13.0,0.992859121579838
blobbville,2,8.0,0.0,10.0,0.992859121579838
tenmeier,2,8.0,0.0,8.0,0.992859121579838
devilla,2,7.0,0.0,7.0,0.992859121579838
blobbmitten,2,11.0,0.0,11.0,0.992859121579838
teamhi,2,6.0,0.0,6.0,0.992859121579838
guile,2,4.0,3.0,5.0,0.992859121579838
uprooted,2,6.0,7.0,8.0,0.992859121579838
gisors,2,5.0,0.0,6.0,0.992859121579838
batty,2,5.0,4.0,5.0,0.992859121579838
idealistic,2,8.0,10.0,10.0,0.992859121579838
time—,2,5.0,0.0,5.0,0.992859121579838
apr,2,3.0,0.0,3.0,0.992859121579838
uarantula,2,9.0,0.0,9.0,0.992859121579838
asmanian,2,8.0,0.0,8.0,0.992859121579838
‘methinks,2,8.0,0.0,9.0,0.992859121579838
wellcultivated,2,10.0,0.0,14.0,0.992859121579838
inexperience,2,8.0,12.0,12.0,0.992859121579838
abbey’,2,6.0,0.0,6.0,0.992859121579838
meansat,2,7.0,0.0,7.0,0.992859121579838
curbs,2,4.0,4.0,5.0,0.992859121579838
needful,2,4.0,6.0,7.0,0.992859121579838
metéora,2,7.0,0.0,7.0,0.992859121579838
chapterhouse,2,11.0,0.0,12.0,0.992859121579838
aberration,2,5.0,7.0,10.0,0.992859121579838
redesigning,2,8.0,9.0,11.0,0.992859121579838
rioting,2,4.0,6.0,7.0,0.992859121579838
vagrant,2,7.0,7.0,7.0,0.992859121579838
alberic,2,5.0,0.0,7.0,0.992859121579838
doughty,2,7.0,4.0,7.0,0.992859121579838
hucksters,2,8.0,7.0,9.0,0.992859121579838
beetling,2,5.0,0.0,8.0,0.992859121579838
sus,2,2.0,3.0,3.0,0.992859121579838
bespoken,2,8.0,0.0,8.0,0.992859121579838
knuckle,2,6.0,5.0,7.0,0.992859121579838
time—and,2,8.0,0.0,8.0,0.992859121579838
lithuanian,2,10.0,10.0,10.0,0.992859121579838
bluestriped,2,9.0,0.0,11.0,0.992859121579838
minibeast,2,9.0,0.0,9.0,0.992859121579838
tz,2,2.0,0.0,2.0,0.992859121579838
vied,2,3.0,3.0,4.0,0.992859121579838
lineup,2,6.0,5.0,6.0,0.992859121579838
‘ket,2,4.0,0.0,4.0,0.992859121579838
substation,2,7.0,9.0,10.0,0.992859121579838
irresistibly,2,8.0,11.0,12.0,0.992859121579838
equilibrists,2,11.0,0.0,12.0,0.992859121579838
576,2,3.0,0.0,3.0,0.992859121579838
snowman’s,2,8.0,0.0,9.0,0.992859121579838
batulcar’s,2,9.0,0.0,10.0,0.992859121579838
dynamo’s,2,7.0,0.0,8.0,0.992859121579838
taki,2,4.0,4.0,4.0,0.992859121579838
lau,2,3.0,2.0,3.0,0.992859121579838
hrew,2,4.0,0.0,4.0,0.992859121579838
pleasant’,2,9.0,0.0,9.0,0.992859121579838
rotors,2,5.0,5.0,6.0,0.992859121579838
perseid,2,7.0,0.0,7.0,0.992859121579838
palomino,2,8.0,8.0,8.0,0.992859121579838
ection,2,6.0,0.0,6.0,0.992859121579838
laurence,2,7.0,6.0,8.0,0.992859121579838
recklessness,2,8.0,9.0,12.0,0.992859121579838
cripps,2,5.0,5.0,6.0,0.992859121579838
alarm’s,2,6.0,0.0,7.0,0.992859121579838
patronage,2,8.0,8.0,9.0,0.992859121579838
exc,2,3.0,0.0,3.0,0.992859121579838
forwarded,2,7.0,8.0,9.0,0.992859121579838
tussle,2,5.0,5.0,6.0,0.992859121579838
pected,2,4.0,0.0,6.0,0.992859121579838
ontario,2,7.0,7.0,7.0,0.992859121579838
elephantlike,2,11.0,0.0,12.0,0.992859121579838
pag,2,3.0,0.0,3.0,0.992859121579838
thief’,2,6.0,0.0,6.0,0.992859121579838
sess,2,4.0,0.0,4.0,0.992859121579838
airbag,2,6.0,5.0,6.0,0.992859121579838
watchfulness,2,5.0,0.0,12.0,0.992859121579838
groundlevel,2,11.0,0.0,11.0,0.992859121579838
rascal’s,2,7.0,0.0,8.0,0.992859121579838
siameseblue,2,10.0,0.0,11.0,0.992859121579838
unesco,2,6.0,7.0,6.0,0.992859121579838
cleo’s,2,5.0,0.0,6.0,0.992859121579838
